dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,off,False,ab,0,0.81327,0.17778,0.33926,1.0,0.20428,0.2149,0.72217,0.48531,0.908389
22_bank_status,off,False,ab,1,0.81697,0.17611,0.31618,1.0,0.18778,0.2064,0.71978,0.47288,0.929787
22_bank_status,off,False,ab,2,0.82038,0.17647,0.34566,1.0,0.20894,0.21781,0.72174,0.49028,0.931441
22_bank_status,off,False,ann,0,0.81317,0.14707,0.33867,1.0,0.20385,0.20566,0.71002,0.53103,7.48947
22_bank_status,off,False,ann,1,0.81697,0.14443,0.31618,1.0,0.18778,0.20407,0.71729,0.51483,5.628363
22_bank_status,off,False,ann,2,0.82038,0.14252,0.34566,1.0,0.20894,0.21409,0.7164,0.53257,6.37007
22_bank_status,off,False,bnb,0,0.76452,0.17937,0.0143,0.40476,0.00728,0.02607,0.57851,0.2884,0.023533
22_bank_status,off,False,bnb,1,0.77405,0.17365,0.01662,0.43182,0.00847,0.03275,0.59137,0.28395,0.022158
22_bank_status,off,False,bnb,2,0.77294,0.17454,0.01996,0.5,0.01018,0.02975,0.58312,0.28422,0.022043
22_bank_status,off,False,cb,0,0.81276,0.13962,0.36351,0.89865,0.22784,0.24207,0.75208,0.57407,5.819691
22_bank_status,off,False,cb,1,0.81566,0.13807,0.33791,0.88636,0.20874,0.23158,0.74958,0.54808,5.438781
22_bank_status,off,False,cb,2,0.81998,0.13611,0.38517,0.8578,0.24834,0.24606,0.75282,0.57133,5.60693
22_bank_status,off,False,dt,0,0.71789,0.28211,0.41509,0.40422,0.42655,0.07885,0.61689,0.30699,0.235392
22_bank_status,off,False,dt,1,0.72731,0.27269,0.39911,0.39639,0.40187,0.07558,0.61193,0.29409,0.22867
22_bank_status,off,False,dt,2,0.73203,0.26797,0.42617,0.41475,0.43825,0.09549,0.62829,0.30931,0.259622
22_bank_status,off,False,gnb,0,0.6991,0.22674,0.43743,0.38969,0.4985,0.19554,0.69859,0.50154,0.029207
22_bank_status,off,False,gnb,1,0.36908,0.59728,0.41232,0.26093,0.98216,0.1822,0.69306,0.4641,0.0298
22_bank_status,off,False,gnb,2,0.7646,0.18815,0.40133,0.47489,0.3475,0.201,0.70448,0.49904,0.030442
22_bank_status,off,False,knn,0,0.77296,0.17547,0.35328,0.53282,0.26424,0.14832,0.64642,0.44074,0.130407
22_bank_status,off,False,knn,1,0.78189,0.16848,0.34991,0.53285,0.26048,0.15141,0.65879,0.43316,0.07443
22_bank_status,off,False,knn,2,0.78571,0.16616,0.36773,0.55705,0.27446,0.16434,0.66819,0.44968,0.074148
22_bank_status,off,False,lda,0,0.81327,0.14597,0.33926,1.0,0.20428,0.21483,0.72372,0.54242,0.057163
22_bank_status,off,False,lda,1,0.81697,0.14378,0.31618,1.0,0.18778,0.20401,0.7182,0.51931,0.056961
22_bank_status,off,False,lda,2,0.82038,0.14082,0.34566,1.0,0.20894,0.21923,0.72403,0.54028,0.064448
22_bank_status,off,False,lgbm,0,0.81317,0.13999,0.36226,0.91034,0.22612,0.23861,0.75026,0.56892,0.336138
22_bank_status,off,False,lgbm,1,0.81435,0.13882,0.33537,0.86778,0.20785,0.22675,0.74372,0.54139,0.299683
22_bank_status,off,False,lgbm,2,0.81827,0.1371,0.37353,0.85965,0.2386,0.23769,0.74724,0.56244,0.328661
22_bank_status,off,False,lr,0,0.81317,0.14291,0.33961,0.99583,0.20471,0.21261,0.71907,0.539,0.077693
22_bank_status,off,False,lr,1,0.81677,0.14077,0.31595,0.99527,0.18778,0.20255,0.71547,0.51626,0.077617
22_bank_status,off,False,lr,2,0.82038,0.13878,0.34566,1.0,0.20894,0.21731,0.72064,0.53721,0.078176
22_bank_status,off,False,rf,0,0.81266,0.14043,0.35768,0.91534,0.22227,0.23518,0.74753,0.56544,2.835596
22_bank_status,off,False,rf,1,0.81586,0.13948,0.32943,0.91837,0.20071,0.22173,0.74017,0.53407,2.842162
22_bank_status,off,False,rf,2,0.81928,0.13775,0.3669,0.89673,0.23063,0.23467,0.74403,0.55395,2.889942
22_bank_status,off,False,tabnet,0,0.63608,0.2009,0.46012,0.35293,0.66081,0.21485,0.72524,0.54117,33.84972
22_bank_status,off,False,tabnet,1,0.68771,0.19445,0.44068,0.36945,0.54594,0.19955,0.71432,0.51187,38.590074
22_bank_status,off,False,tabnet,2,0.73384,0.1917,0.44393,0.42229,0.46791,0.21166,0.71301,0.52909,13.450587
22_bank_status,off,False,tabpfn,0,0.81327,0.14207,0.33926,1.0,0.20428,0.23733,0.74652,0.56894,42.883146
22_bank_status,off,False,tabpfn,1,0.81697,0.13979,0.31618,1.0,0.18778,0.22573,0.74271,0.542,42.884656
22_bank_status,off,False,tabpfn,2,0.82038,0.13705,0.34566,1.0,0.20894,0.23902,0.74776,0.56462,43.000041
22_bank_status,off,False,xgb,0,0.80201,0.14673,0.39122,0.70255,0.27109,0.22452,0.73731,0.55438,0.142441
22_bank_status,off,False,xgb,1,0.8042,0.14637,0.35411,0.68992,0.23818,0.20987,0.72836,0.52132,0.139661
22_bank_status,off,False,xgb,2,0.81023,0.14338,0.39911,0.71008,0.27756,0.22546,0.735,0.54764,0.129475
