dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,off,False,ab,0,0.825,0.15852,0.44934,0.69727,0.33148,0.27412,0.7674,0.53131,1.25996
02_taiwan_creditcard,off,False,ab,1,0.8214,0.16247,0.45615,0.69674,0.33907,0.27112,0.76599,0.53598,1.249732
02_taiwan_creditcard,off,False,ab,2,0.8103,0.16688,0.43826,0.67029,0.32556,0.26506,0.76617,0.52162,1.394167
02_taiwan_creditcard,off,False,ann,0,0.7937,0.14923,0.11192,0.76923,0.06035,0.21547,0.70363,0.48337,16.006382
02_taiwan_creditcard,off,False,ann,1,0.7862,0.15258,0.09407,0.7351,0.05025,0.22282,0.70591,0.48613,6.697041
02_taiwan_creditcard,off,False,ann,2,0.7912,0.15498,0.24403,0.68916,0.14826,0.21968,0.70683,0.47545,7.676278
02_taiwan_creditcard,off,False,bnb,0,0.7558,0.16917,0.25775,0.37324,0.19684,0.10259,0.66128,0.33961,0.023548
02_taiwan_creditcard,off,False,bnb,1,0.7373,0.18148,0.24964,0.33824,0.19783,0.07905,0.64147,0.32372,0.019696
02_taiwan_creditcard,off,False,bnb,2,0.7479,0.17437,0.24089,0.38168,0.17598,0.09717,0.65909,0.34439,0.02027
02_taiwan_creditcard,off,False,cb,0,0.8248,0.13236,0.47857,0.66667,0.37326,0.28922,0.78071,0.54513,5.23588
02_taiwan_creditcard,off,False,cb,1,0.8225,0.13378,0.48595,0.67444,0.37981,0.28852,0.77782,0.56663,5.656906
02_taiwan_creditcard,off,False,cb,2,0.8107,0.13903,0.46328,0.65152,0.35944,0.28285,0.77929,0.55251,6.357536
02_taiwan_creditcard,off,False,dt,0,0.7222,0.27765,0.39477,0.37192,0.42061,0.07362,0.61333,0.28153,0.365596
02_taiwan_creditcard,off,False,dt,1,0.721,0.27903,0.39663,0.37971,0.41512,0.07213,0.61146,0.2869,0.357611
02_taiwan_creditcard,off,False,dt,2,0.719,0.28103,0.39518,0.38685,0.40387,0.06875,0.60781,0.29181,0.366573
02_taiwan_creditcard,off,False,gnb,0,0.5531,0.28889,0.43063,0.29675,0.78459,0.23942,0.73676,0.49213,0.027281
