dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,off,False,ab,0,0.9376,0.11622,0.26241,0.52113,0.17536,0.37108,0.83751,0.33009,0.520053
07_case_study,off,False,ab,1,0.9335,0.1204,0.27163,0.57143,0.17816,0.4121,0.84785,0.38004,0.512585
07_case_study,off,False,ab,2,0.9408,0.11523,0.26551,0.59777,0.17065,0.41468,0.85494,0.37381,0.643838
07_case_study,off,False,ann,0,0.9367,0.05861,0.0,0.0,0.0,0.07023,0.64282,0.10926,6.721645
07_case_study,off,False,ann,1,0.9304,0.06422,0.0,0.0,0.0,0.05275,0.62605,0.10657,6.304528
07_case_study,off,False,ann,2,0.9373,0.05831,0.0,0.0,0.0,0.06007,0.62887,0.1004,5.86755
07_case_study,off,False,bnb,0,0.9276,0.05639,0.37478,0.41333,0.34281,0.33092,0.78279,0.29538,0.020885
07_case_study,off,False,bnb,1,0.9256,0.05841,0.37479,0.45142,0.3204,0.36042,0.79732,0.33733,0.019785
07_case_study,off,False,bnb,2,0.9313,0.05333,0.38386,0.43852,0.34131,0.36365,0.80718,0.32953,0.020623
07_case_study,off,False,cb,0,0.9377,0.0497,0.29763,0.51969,0.20853,0.39374,0.84728,0.3471,5.321104
07_case_study,off,False,cb,1,0.9328,0.05358,0.26797,0.55405,0.17672,0.40047,0.84665,0.3642,5.332013
07_case_study,off,False,cb,2,0.9373,0.04895,0.26148,0.5,0.17703,0.40925,0.85403,0.35039,5.426188
07_case_study,off,False,dt,0,0.899,0.101,0.25735,0.24072,0.27646,0.12021,0.60877,0.11235,0.123989
07_case_study,off,False,dt,1,0.8964,0.1036,0.24158,0.24627,0.23707,0.09543,0.5914,0.11148,0.115969
07_case_study,off,False,dt,2,0.9015,0.0985,0.25884,0.24501,0.27432,0.12246,0.60889,0.11271,0.113298
07_case_study,off,False,gnb,0,0.9329,0.06631,0.0373,0.20312,0.02054,0.18079,0.72301,0.16766,0.024565
07_case_study,off,False,gnb,1,0.9284,0.07052,0.06037,0.34848,0.03305,0.14914,0.70649,0.17227,0.0259
07_case_study,off,False,gnb,2,0.431,0.35598,0.15903,0.08764,0.85805,0.1756,0.72509,0.17462,0.025734
07_case_study,off,False,knn,0,0.9351,0.06472,0.06619,0.37097,0.03633,0.04571,0.57732,0.09723,0.109664
07_case_study,off,False,knn,1,0.929,0.07039,0.0327,0.31579,0.01724,0.03158,0.56881,0.09255,0.068582
07_case_study,off,False,knn,2,0.9349,0.06458,0.02105,0.18421,0.01116,0.03295,0.57689,0.08076,0.06874
07_case_study,off,False,lda,0,0.9356,0.05615,0.11538,0.44211,0.06635,0.20226,0.70344,0.20784,0.031414
07_case_study,off,False,lda,1,0.9304,0.06027,0.12782,0.5,0.07328,0.21453,0.69196,0.23863,0.031485
07_case_study,off,False,lda,2,0.9359,0.05567,0.12071,0.43137,0.07018,0.19565,0.67272,0.20476,0.031029
07_case_study,off,False,lgbm,0,0.9382,0.04968,0.30717,0.52896,0.21643,0.38409,0.84392,0.33814,0.303373
07_case_study,off,False,lgbm,1,0.9327,0.05365,0.25799,0.5545,0.1681,0.38989,0.84041,0.35129,0.300037
07_case_study,off,False,lgbm,2,0.9377,0.04843,0.26792,0.50893,0.18182,0.40315,0.84751,0.35345,0.27609
07_case_study,off,False,lr,0,0.9362,0.05853,0.0304,0.4,0.0158,0.08379,0.65939,0.11748,0.047107
07_case_study,off,False,lr,1,0.9307,0.06339,0.03077,0.57895,0.0158,0.07774,0.65299,0.12624,0.041344
07_case_study,off,False,lr,2,0.9376,0.05754,0.01887,0.66667,0.00957,0.07769,0.64962,0.11858,0.043435
07_case_study,off,False,rf,0,0.9382,0.05009,0.24818,0.53968,0.16114,0.36569,0.82242,0.32413,1.90173
07_case_study,off,False,rf,1,0.9333,0.05298,0.2289,0.5858,0.14224,0.38634,0.84385,0.35814,1.89978
07_case_study,off,False,rf,2,0.939,0.04853,0.21795,0.55556,0.13557,0.38891,0.83689,0.34254,1.981771
07_case_study,off,False,tabnet,0,0.7652,0.184,0.26487,0.16517,0.66825,0.32393,0.79213,0.29508,47.673273
07_case_study,off,False,tabnet,1,0.8076,0.17759,0.32158,0.21308,0.65517,0.35103,0.80201,0.33551,35.462667
07_case_study,off,False,tabnet,2,0.7989,0.16943,0.29513,0.18913,0.67145,0.35476,0.8179,0.34182,45.451366
07_case_study,off,False,tabpfn,0,0.9386,0.04861,0.3208,0.53506,0.22907,0.3967,0.8445,0.36066,24.40506
07_case_study,off,False,tabpfn,1,0.9354,0.05158,0.29935,0.61062,0.19828,0.42743,0.85641,0.39621,24.237863
07_case_study,off,False,tabpfn,2,0.9406,0.04693,0.3125,0.56962,0.21531,0.42858,0.86151,0.38654,29.076881
07_case_study,off,False,xgb,0,0.9337,0.05347,0.29242,0.45066,0.21643,0.34187,0.82097,0.30479,0.119895
07_case_study,off,False,xgb,1,0.9311,0.05679,0.2755,0.51373,0.18822,0.32821,0.81024,0.3196,0.680758
07_case_study,off,False,xgb,2,0.9353,0.05183,0.27222,0.46183,0.19298,0.36224,0.83265,0.32436,0.115751
07_case_study,on (ratio=0.1),False,ab,0,0.9361,0.12863,0.32238,0.49032,0.24013,0.37762,0.83883,0.34167,0.557375
07_case_study,on (ratio=0.1),False,ab,1,0.9325,0.13257,0.32567,0.53443,0.2342,0.42079,0.85491,0.38532,0.575626
07_case_study,on (ratio=0.1),False,ab,2,0.9401,0.12427,0.33073,0.55224,0.23604,0.42437,0.85923,0.37829,0.536879
07_case_study,on (ratio=0.1),False,ann,0,0.9367,0.05964,0.0,0.0,0.0,0.06183,0.63729,0.10383,9.78588
07_case_study,on (ratio=0.1),False,ann,1,0.9304,0.06426,0.0,0.0,0.0,0.06229,0.63322,0.11934,8.30538
07_case_study,on (ratio=0.1),False,ann,2,0.9373,0.05928,0.0,0.0,0.0,0.06874,0.63771,0.11152,11.045875
07_case_study,on (ratio=0.1),False,bnb,0,0.9273,0.05985,0.37597,0.41165,0.34597,0.32841,0.78381,0.29798,0.021391
07_case_study,on (ratio=0.1),False,bnb,1,0.9241,0.06147,0.37634,0.43954,0.32902,0.3594,0.79773,0.33928,0.021466
07_case_study,on (ratio=0.1),False,bnb,2,0.9306,0.05641,0.39229,0.43495,0.35726,0.36294,0.80589,0.32987,0.020935
07_case_study,on (ratio=0.1),False,cb,0,0.9372,0.04993,0.31739,0.50871,0.23065,0.39126,0.84405,0.34648,5.444484
07_case_study,on (ratio=0.1),False,cb,1,0.9319,0.05389,0.28089,0.52988,0.19109,0.40327,0.84793,0.35465,5.514926
07_case_study,on (ratio=0.1),False,cb,2,0.9366,0.04849,0.2662,0.48523,0.18341,0.41954,0.85641,0.35877,5.606289
07_case_study,on (ratio=0.1),False,dt,0,0.8978,0.1022,0.26475,0.24306,0.29068,0.1284,0.61475,0.11555,0.123822
07_case_study,on (ratio=0.1),False,dt,1,0.8937,0.1063,0.25508,0.24897,0.26149,0.10765,0.60124,0.11651,0.115772
07_case_study,on (ratio=0.1),False,dt,2,0.8963,0.1037,0.23014,0.21528,0.24721,0.09415,0.59346,0.10042,0.121136
07_case_study,on (ratio=0.1),False,gnb,0,0.9343,0.06486,0.04644,0.28571,0.02528,0.17942,0.7178,0.17295,0.026266
07_case_study,on (ratio=0.1),False,gnb,1,0.9289,0.07004,0.04819,0.35294,0.02586,0.15347,0.69959,0.18054,0.027072
07_case_study,on (ratio=0.1),False,gnb,2,0.3242,0.44357,0.14326,0.07781,0.90112,0.18042,0.72053,0.17908,0.025543
07_case_study,on (ratio=0.1),False,knn,0,0.9258,0.07145,0.12293,0.24413,0.08215,0.04624,0.57833,0.09513,0.0773
07_case_study,on (ratio=0.1),False,knn,1,0.9177,0.07718,0.08045,0.1809,0.05172,0.03233,0.57336,0.0928,0.089945
07_case_study,on (ratio=0.1),False,knn,2,0.925,0.07017,0.05542,0.13174,0.03509,0.03917,0.58696,0.08481,0.112452
07_case_study,on (ratio=0.1),False,lda,0,0.9357,0.05662,0.14608,0.45833,0.08689,0.20154,0.70212,0.20854,0.04612
07_case_study,on (ratio=0.1),False,lda,1,0.9297,0.0608,0.1601,0.47518,0.09626,0.2053,0.68733,0.23563,0.042822
07_case_study,on (ratio=0.1),False,lda,2,0.9359,0.0564,0.14647,0.44355,0.08772,0.19391,0.6727,0.20338,0.034305
07_case_study,on (ratio=0.1),False,lgbm,0,0.9359,0.05015,0.28857,0.48507,0.20537,0.38233,0.83916,0.33715,0.353796
07_case_study,on (ratio=0.1),False,lgbm,1,0.9329,0.05322,0.28995,0.5502,0.19684,0.3983,0.84347,0.35926,0.325265
07_case_study,on (ratio=0.1),False,lgbm,2,0.9393,0.04795,0.27824,0.54673,0.1866,0.40733,0.85108,0.36325,0.304895
07_case_study,on (ratio=0.1),False,lr,0,0.9362,0.05929,0.0304,0.4,0.0158,0.08824,0.66198,0.11933,0.049292
07_case_study,on (ratio=0.1),False,lr,1,0.9307,0.0638,0.03077,0.57895,0.0158,0.08074,0.65588,0.12733,0.049252
07_case_study,on (ratio=0.1),False,lr,2,0.9377,0.05827,0.02198,0.7,0.01116,0.07737,0.64993,0.12037,0.047543
07_case_study,on (ratio=0.1),False,rf,0,0.938,0.0503,0.274,0.52941,0.18483,0.37064,0.82858,0.33006,1.997959
07_case_study,on (ratio=0.1),False,rf,1,0.9339,0.05324,0.27283,0.58216,0.17816,0.39015,0.84371,0.35761,2.112247
07_case_study,on (ratio=0.1),False,rf,2,0.938,0.04871,0.23833,0.51872,0.1547,0.39758,0.84005,0.3438,2.037433
07_case_study,on (ratio=0.1),False,tabnet,0,0.1646,0.52163,0.12925,0.06919,0.97946,0.29244,0.77039,0.27631,67.991134
