dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,off,False,ab,0,0.87519,0.16875,0.61963,0.78599,0.51139,0.53495,0.88937,0.72842,0.313628
34_hmeq_data,off,False,ab,1,0.87871,0.16583,0.62866,0.78462,0.52442,0.51802,0.88834,0.71762,0.213444
34_hmeq_data,off,False,ab,2,0.88369,0.1665,0.6484,0.84524,0.52593,0.58743,0.90907,0.78779,0.210393
34_hmeq_data,off,False,ann,0,0.80624,0.14204,0.04938,1.0,0.02532,0.25591,0.7623,0.51013,18.802382
34_hmeq_data,off,False,ann,1,0.80775,0.14087,0.03535,1.0,0.01799,0.2536,0.74449,0.50709,1.999217
34_hmeq_data,off,False,ann,2,0.79658,0.14851,0.00493,1.0,0.00247,0.22486,0.73209,0.49661,1.272182
34_hmeq_data,off,False,bnb,0,0.8148,0.1383,0.32103,0.59184,0.22025,0.21984,0.73377,0.43421,0.014789
34_hmeq_data,off,False,bnb,1,0.82436,0.13201,0.32495,0.65625,0.21594,0.2517,0.74819,0.46961,0.012787
34_hmeq_data,off,False,bnb,2,0.82125,0.13427,0.37168,0.65625,0.25926,0.25596,0.7561,0.48763,0.010886
34_hmeq_data,off,False,cb,0,0.91595,0.06243,0.76312,0.86774,0.68101,0.68928,0.94913,0.87203,2.847484
34_hmeq_data,off,False,cb,1,0.91545,0.06293,0.75221,0.88235,0.65553,0.68493,0.94759,0.86773,2.624293
34_hmeq_data,off,False,cb,2,0.92296,0.05579,0.78838,0.89623,0.7037,0.73204,0.9623,0.90596,2.371035
34_hmeq_data,off,False,dt,0,0.87569,0.12431,0.67023,0.70904,0.63544,0.44617,0.78537,0.52303,0.071614
34_hmeq_data,off,False,dt,1,0.85959,0.14041,0.6285,0.65193,0.60668,0.38962,0.76392,0.47252,0.050259
34_hmeq_data,off,False,dt,2,0.8721,0.1279,0.6809,0.69309,0.66914,0.46125,0.79662,0.53125,0.038231
34_hmeq_data,off,False,gnb,0,0.79215,0.18307,0.42238,0.47187,0.38228,0.25586,0.7705,0.48008,0.041651
34_hmeq_data,off,False,gnb,1,0.80624,0.1795,0.46304,0.5061,0.42674,0.27981,0.77705,0.50075,0.012297
34_hmeq_data,off,False,gnb,2,0.79355,0.18514,0.46753,0.49315,0.44444,0.28062,0.76392,0.53989,0.011917
34_hmeq_data,off,False,knn,0,0.85959,0.10434,0.4918,0.87662,0.34177,0.50182,0.84744,0.65893,2.022738
34_hmeq_data,off,False,knn,1,0.87267,0.09757,0.52354,0.97887,0.35733,0.54507,0.86533,0.70632,0.044243
34_hmeq_data,off,False,knn,2,0.85599,0.10387,0.47232,0.93431,0.31605,0.52929,0.86462,0.68969,0.024713
34_hmeq_data,off,False,lda,0,0.82587,0.12874,0.41356,0.62564,0.30886,0.30932,0.79729,0.54939,0.039212
34_hmeq_data,off,False,lda,1,0.83392,0.1221,0.39781,0.68553,0.28021,0.3232,0.79754,0.57544,0.013507
34_hmeq_data,off,False,lda,2,0.84038,0.11908,0.46362,0.73656,0.33827,0.34108,0.80534,0.61869,0.013335
34_hmeq_data,off,False,lgbm,0,0.91746,0.06274,0.77285,0.85321,0.70633,0.67687,0.93907,0.86648,31.679513
34_hmeq_data,off,False,lgbm,1,0.90337,0.07097,0.72334,0.82295,0.64524,0.65981,0.94331,0.83897,0.236999
34_hmeq_data,off,False,lgbm,2,0.92346,0.05817,0.79679,0.8688,0.7358,0.72508,0.96088,0.8945,0.239784
34_hmeq_data,off,False,lr,0,0.82687,0.12562,0.33591,0.70732,0.22025,0.31257,0.79588,0.55069,0.016258
34_hmeq_data,off,False,lr,1,0.83291,0.12329,0.33065,0.76636,0.2108,0.30528,0.78695,0.56048,0.01808
34_hmeq_data,off,False,lr,2,0.84089,0.1221,0.39924,0.86777,0.25926,0.33255,0.79836,0.60767,0.017213
34_hmeq_data,off,False,rf,0,0.91646,0.0661,0.75942,0.88814,0.66329,0.70214,0.95591,0.87535,0.829961
34_hmeq_data,off,False,rf,1,0.9074,0.06767,0.727,0.85965,0.62982,0.70422,0.95186,0.85384,0.531801
34_hmeq_data,off,False,rf,2,0.92497,0.05926,0.78984,0.92105,0.69136,0.75946,0.97031,0.90682,0.556027
34_hmeq_data,off,False,tabnet,0,0.76195,0.16805,0.51586,0.43299,0.63797,0.30772,0.79109,0.57978,30.642701
34_hmeq_data,off,False,tabnet,1,0.59386,0.24197,0.41733,0.29016,0.74293,0.1994,0.70082,0.42791,3.727737
34_hmeq_data,off,False,tabnet,2,0.79053,0.15387,0.56394,0.48998,0.6642,0.37714,0.83216,0.64781,21.676179
34_hmeq_data,off,False,tabpfn,0,0.95974,0.029,0.89501,0.92916,0.86329,0.88234,0.98997,0.96843,11.50869
34_hmeq_data,off,False,tabpfn,1,0.95773,0.03291,0.8883,0.92011,0.85861,0.84596,0.98813,0.95891,8.997194
34_hmeq_data,off,False,tabpfn,2,0.9708,0.02306,0.92545,0.96515,0.88889,0.91636,0.99426,0.98333,1.868325
34_hmeq_data,off,False,xgb,0,0.91193,0.06616,0.75995,0.82934,0.70127,0.68185,0.94378,0.85976,17.830665
34_hmeq_data,off,False,xgb,1,0.91092,0.06837,0.75245,0.82515,0.69152,0.67781,0.94212,0.8494,92.452798
34_hmeq_data,off,False,xgb,2,0.91994,0.05826,0.786,0.86391,0.72099,0.73714,0.96123,0.89813,0.079002
